word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
out,out,/aut/,adv./prep.,"a. 外面的, 熄灭的, 结束的；adv. 在外, 熄灭, 出现；prep. 出自, 离去, 向",A1,,,,
into,into,/'intu:/,prep.,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况",A1,,,,
just,just,/dʒʌst/,adv.,"a. 正直的, 合理的, 正确的, 应得的；adv. 刚刚, 正好, 仅仅",A1,,,,
see,see,/si:/,vt./vi./n.,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意；vi. 看, 观看, 注意, 知道, 考虑；n. 主教的职位",A1,,,,
him,him,/him/,pron.,pron. 他,A1,,,,
your,your,/juә/,pron.,"pron. 你的, 你们的",A1,,,,
come,come,/kʌm/,vi.,"vi. 过来, 来, 到达, 出现, 开始；interj. 喂",A1,,,,
could,could,/kud/,,"aux. 可以, 能",A1,,,,
now,now,/nau/,n./adv./conj.,"adv. 现在, 刚才, 目前；n. 现在；a. 现在的；conj. 由于",A1,,,,
than,than,/ðæn/,prep./conj.,"conj. 比, 除...外；prep. 比",A1,,,,
like,like,/laik/,vt./vi./n./prep.,"a. 相似的, 同样的；vt. 喜欢, 愿意, 想；vi. 喜欢, 希望；n. 爱好, 同样的人(或物)；prep. 象, 如同",A1,,,,
other,other,/'ʌðә/,pron.,"a. 其他的, 另外的, 从前的；pron. 其他的, 他人, 另外一个",A1,,,,
how,how,/hau/,n./adv.,"adv. 如何, 怎样, 多少, 多么；n. 方式",A1,,,,
then,then,/ðen/,n./adv./conj.,"adv. 然后, 当时；conj. 然后, 当时；n. 那时",A1,,,,
its,its,/its/,pron.,pron. 它的,A1,,,,
our,our,/'auә/,pron.,pron. 我们的,A1,,,,
two,two,/tu:/,num.,"num. 二, 二个",A1,,,,
more,more,/mɒ:/,n./adv.,"n. 更多；a. 多的, 程度较大的, 更大的；adv. 多, 更多, 进一步",A1,,,,
these,these,/ði:z/,pron.,pron. 这些,A1,,,,
want,want,/wɒnt/,vt./vi./n.,"n. 需要的东西, 缺乏, 贫困, 需要；vt. 要, 希望, 应该, 缺少；vi. 生活困苦, 需要, 缺少",A1,,,,
way,way,/wei/,n./adv.,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面；adv. 远远地, 非常",A1,,,,
look,look,/luk/,vt./vi./n.,"n. 一看, 神色, 样子, 面容；vi. 看, 注意, 朝着, 显得；vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待",A1,,,,
first,first,/fә:st/,n./adv./num.,"adv. 首先, 第一, 优先；a. 第一的；num. 第一；n. 开始, 第一",A1,,,,
also,also,/'ɒ:lsәu/,adv.,"adv. 也, 并且, 同样地",A1,,,,
new,new,/nju:/,,"a. 新的, 陌生的, 最近的, 不熟悉的",A1,,,,
because,because,/bi'kɒ:z/,conj.,conj. 因为,A1,,,,
day,day,/dei/,n.,"n. 天, 日子, 白天, 工作日",A1,,,,
use,use,/ju:s/,vt./vi./n.,"n. 使用, 习惯, 使用价值, 用法, 使用权；vt. 使用, 利用, 运用, 耗费；vi. 惯常",A1,,,,
no,no,/nәu/,n./adv.,"n. 不, 拒绝, 否决票；a. 没有, 不是, 绝非；adv. 不",A1,,,,
man,man,/mæn/,vt./n.,"n. 男人, 人类, 人；vt. 为...配备人手, 操纵, 使振奋",A1,,,,
find,find,/faind/,vt./vi./n.,"vt. 发现, 感到, 找到, 认为, 得到；vi. 裁决；n. 发现；寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上",A1,,,,
here,here,/hiә/,n./adv.,"adv. 在这里, 此时, 这里；n. 这里",A1,,,,
thing,thing,/θiŋ/,n.,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征",A1,,,,
give,give,/giv/,vt./vi./n.,"n. 弹性, 适应性；vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出；vi. 捐赠, 支持不住, 让步",A1,,,,
many,many,/'meni/,n./pron.,"n. 多数, 多数人；a. 许多的；pron. 许多",A1,,,,
well,well,/wel/,v./n./adv.,"n. 井, 泉水, 源泉, 好；v. 涌出；a. 健康的, 良好的, 适宜的, 恰当的；adv. 很好地, 适当地, 好意地, 很, 完全；interj. 好啦",A1,,,,
only,only,/'әunli/,adv./conj.,"a. 唯一的, 仅有的, 最佳的；adv. 只有, 仅仅, 只能；conj. 但是, 不过",A1,,,,
those,those,/ðәuz/,pron.,pron. 那些,A1,,,,
tell,tell,/tel/,vt./vi.,"vt. 告诉, 说, 吩咐, 断定, 知道；vi. 讲述, 泄密, 告发, 表明",A1,,,,
very,very,/'veri/,adv.,"a. 真正的, 恰好的, 十足的, 特有的；adv. 非常, 完全",A1,,,,
even,even,/'i:vәn/,vt./vi./n./adv.,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的；vt. 使平坦, 使相等；vi. 变平, 成为相等；adv. 甚至, 实际上, 完全, 十分；n. 偶数, 偶校验",A1,,,,
back,back,/bæk/,vt./vi./n./adv.,"a. 后面的；vt. 使后退, 支持；vi. 倒退, 背靠；adv. 向后地；n. 背部, 后面",A1,,,,
any,any,/'eni/,pron.,a. 任何的；pron. 任何,A1,,,,
good,good,/gud/,n.,"n. 善行, 好处, 利益；a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的",A1,,,,
woman,woman,/'wumәn/,vt./n.,"n. 女人, 妇女, 女仆；a. 女用的, 女性的, 妇女的；vt. 贬称...为女人, 使成女人腔",A1,,,,
through,through,/θru:/,adv./prep.,"adv. 穿越, 从头至尾, 到底, 因为；prep. 经过, 穿过；a. 对穿的, 直达的, 完结的",A1,,,,
us,us,/ʌs/,pron.,pron. 我们,A1,,,,
life,life,/laif/,n.,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑",A1,,,,
child,child,/tʃaild/,n.,"n. 孩子, 产物, 追随者",A1,,,,
work,work,/wә:k/,vt./vi./n.,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程；vi. 工作, 劳动, 做, 运转, 起作用, 被加工；vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成",A1,,,,
down,down,/daun/,n./adv./prep.,"a. 向下的；adv. 下, 下去, 降下；prep. 往下, 沿着；n. 丘陵, 软毛, 开阔的高地",A1,,,,
may,may,/mei/,n.,"n. 五月；aux. 愿能, 可以, 愿意",A1,,,,
after,after,/'ɑ:ftә/,adv./prep./conj.,"prep. 在...之后, 由于；conj. 在...之后；adv. 后来",A1,,,,
should,should,/ʃud/,,"aux. 应该, 将要",A1,,,,
call,call,/kɒ:l/,vt./vi./n.,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求；vt. 呼叫, 召集, 打电话；vi. 叫喊, 访问, 叫牌",A1,,,,
world,world,/wә:ld/,n.,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量",A1,,,,
over,over,/'әuvә/,vt./adv./prep.,"adv. 结束, 越过, 从头到尾；prep. 在...之上, 遍于...之上, 越过；a. 上面的；vt. 越过",A1,,,,
school,school,/sku:l/,vt./vi./n.,"n. 学校, 鱼群, 门派, 学派；vt. 教育, 训练, 培养；vi. 成群地游",A1,,,,
still,still,/stil/,v./n./adv./conj.,"n. 蒸馏室, 寂静, 剧照；v. 蒸馏, (使)平静, (使)静止；a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的；adv. 仍然, 更, 静止地；conj. 然而, 但是",A1,,,,
try,try,/trai/,vt./vi./n.,"n. 尝试, 试验, 审理, 审判；vt. 试, 尝试, 试验, 考验, 审问, 提炼；vi. 尝试, 试图",A1,,,,
last,last,/lɑ:st/,vt./vi./n./adv.,"a. 最后的, 末尾的, 最近的；vi. 持续, 支持, 维持；vt. 使维持, 够...用；adv. 最后, 后来；n. 最后, 末尾, 鞋楦头",A1,,,,
ask,ask,/ɑ:sk/,vt./vi.,"vi. 问, 要求；vt. 问, 要求, 邀请, 需要",A1,,,,
need,need,/ni:d/,vt./vi./n.,"n. 需要, 必须, 缺乏；vt. 需要, 必需；vi. 贫困, 有必要；aux. 需要",A1,,,,
too,too,/tu:/,adv.,"adv. 也, 非常, 太",A1,,,,
feel,feel,/fi:l/,vt./vi./n.,"vt. 感觉, 觉得, 触摸, 以为；vi. 有知觉, 摸索, 同情；n. 感觉, 觉得, 触摸",A1,,,,
three,three,/θri:/,num.,"num. 三, 三个",A1,,,,
state,state,/steit/,vt./n.,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位；a. 国家的, 正式的, 礼仪用的, 州的；vt. 说明, 陈述, 规定",A2,,,,
never,never,/'nevә/,adv.,"adv. 从不, 决不, 不曾",A1,,,,
become,become,/bi'kʌm/,vt./vi.,"vi. 变成, 变得；vt. 适合",A1,,,,
between,between,/bi'twi:n/,prep.,prep. 在...之间,A1,,,,
high,high,/hai/,n./adv.,"n. 高度, 高处；a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的；adv. 高度地, 奢侈地",A1,,,,
something,something,/'sʌmθiŋ/,pron.,"pron. 某事, 某物",A1,,,,
really,really,/'riәli/,adv.,"adv. 实际上, 真实地, 实在",A1,,,,
most,most,/mәust/,n./adv.,"n. 最多, 最大；a. 大多数的, 几乎全部的, 最多的；adv. 最, 最多, 极其",A1,,,,
another,another,/ә'nʌðә/,pron.,"a. 另外的, 再一的, 不同的；pron. 又一个, 另一个, 类似的另一个",A1,,,,
much,much,/mʌtʃ/,n./adv.,"n. 大量, 许多, 重要的事；a. 很多的, 重要的；adv. 多, 甚, 几乎",A1,,,,
family,family,/'fæmәli/,n.,"n. 家庭, 家人, 族；a. 家庭的",A1,,,,
own,own,/әun/,vt./vi./n.,"n. 自己的；a. 自己的, 嫡亲的, 同胞的；vt. 拥有, 支配, 自认, 承认, 顺从于；vi. 承认, 供认",A1,,,,
leave,leave,/li:v/,vt./vi./n.,"n. 许可, 告别, 请假, 休假；vt. 离开, 剩下, 遗忘, 委托, 丢弃；vi. 出发, 离开, 生叶",A1,,,,
put,put,/put/,vt./vi./n.,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予；vi. 出发, 航行, 发芽；n. 掷, 股票出售权, 笨蛋；a. 固定不动的",A1,,,,
old,old,/әuld/,n.,"n. 以前, 往昔；a. 老的, 旧的, 古老的, 年长的, 老练的",A1,,,,
while,while,/hwail/,vt./n./conj.,"n. 一会儿, (一段)时间；conj. 当...的时候, 虽然；vt. 消磨",A2,,,,
mean,mean,/mi:n/,vt./vi./n.,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的；vt. 意谓, 想要, 意欲, 预定；vi. 用意, 有意义；n. 平均数, 中间, 中庸",A1,,,,
keep,keep,/ki:p/,vt./vi./n.,"n. 生计, 维持, 保持；vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐；vi. 保持, 继续不断",A1,,,,
student,student,/'stju:dnt/,n.,"n. 学生, 研究者, 学者",A1,,,,
why,why,/hwai/,n./adv.,"adv. 为什么；n. 原因, 理由",A1,,,,
let,let,/let/,vt./vi./n.,"vt. 让, 假设, 出租, 排放, 妨碍；vi. 出租, 被承包；n. 出租屋, 障碍",A1,,,,
great,great,/greit/,n./adv.,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的；adv. 顺利地, 得意地；n. 全部, 大人物, 大师",A1,,,,
same,same,/seim/,adv./pron.,"a. 相同的, 同样的；pron. 相同的人(或事物)；adv. 同样地",A1,,,,
big,big,/big/,adv.,"a. 大的, 重要的；adv. 大量地",A1,,,,
group,group,/gru:p/,v./n.,"n. 团体, 组, 团, 群；v. 聚合, 成群",A1,,,,
begin,begin,/bi'gin/,v.,v. 开始,A1,,,,
seem,seem,/si:m/,vi.,"vi. 象是, 似乎",A2,,,,
country,country,/'kʌntri/,n.,"n. 国家, 乡村, 地区, 故乡；a. 乡下的, 农村的",A1,,,,
help,help,/help/,vt./vi./n.,"n. 帮忙, 帮助者, 补救办法, 有益的东西；vt. 帮助, 帮忙, 接济, 治疗, 款待；vi. 有用, 救命, 招待",A1,,,,
talk,talk,/tɒ:k/,vt./vi./n.,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言；vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话；vt. 讲, 说, 讨论, 谈论",A1,,,,
where,where,/hwєә/,n./adv./pron.,adv. 在哪里；pron. 哪里；n. 地点,A1,,,,
turn,turn,/tә:n/,vt./vi./n.,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折；vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通；vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手",A1,,,,
problem,problem,/'prɒblәm/,n.,"n. 问题, 难题；a. 成问题的, 难处理的",A1,,,,
every,every,/'evri/,,"a. 每一, 所有的",A1,,,,
start,start,/stɑ:t/,vt./vi./n.,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件；vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛；vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用",A1,,,,
hand,hand,/hænd/,vt./n.,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手；vt. 交给, 支持, 搀扶",A1,,,,
might,might,/mait/,n.,"n. 力量, 权力；aux. 可能, 也许",A2,,,,
american,american,/ә'merikәn/,n.,"n. 美国人；a. 美国的, 美洲的",Beyond C1,,,,
show,show,/ʃәu/,vt./vi./n.,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相；vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领；vi. 露面, 显现, 演出",A1,,,,
part,part,/pɑ:t/,vt./vi./n./adv.,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位；vt. 分开, 分离, 断绝, 区别, 分配；vi. 分开, 断裂, 分手；a. 部分的, 局部的；adv. 部分地, 有些",A1,,,,
against,against,/ә'geinst/,prep.,"prep. 反对, 对着, 倚靠",A2,,,,
place,place,/pleis/,vt./vi./n.,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位；vt. 放置, 寄予, 认出, 评定, 任命；vi. 名次列前",A1,,,,
such,such,/sʌtʃ/,,"a. 如此的, 这样的",A2,,,,
again,again,/ә'gein/,adv.,"adv. 再一次, 又, 到原处",A1,,,,
few,few,/fju:/,n.,"a. 很少的, 不多的, 少数的；n. 少数",A1,,,,
case,case,/keis/,vt./n.,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子；vt. 装箱, 包盖",A2,,,,
week,week,/wi:k/,n.,"n. 星期, 周",A1,,,,
company,company,/'kʌmpәni/,vt./vi./n.,"n. 公司, 友伴, 交往, 连队, 朋友, 一群；vt. 陪伴；vi. 交往",A1,,,,
mr,mr,/'mistә(r)/,,先生,Beyond C1,,,,
system,system,/'sistәm/,n.,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则",A2,,,,
each,each,/i:tʃ/,adv./pron.,"a. 每个, 每一；adv. 每个；pron. 每个, 个人, 各自",A1,,,,
right,right,/rait/,vt./vi./n./adv.,"n. 权利, 右边, 正义, 右派, 公正；a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的；adv. 正确地, 以有利结果, 一直, 直接, 向右；vt. 扶直, 整理, 纠正, 伸冤, 使昭雪；vi. 恢复平衡",A1,,,,
program,program,/'prәugræm/,vt./vi./n.,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划；vt. 规划, 拟...计划；vi. 安排节目, 编程序",A1,,,,
hear,hear,/hiә/,vt./vi.,"vt. 听到, 倾听, 听说, 审理；vi. 听见, 听",A1,,,,
question,question,/'kwestʃәn/,v./n.,"n. 问题, 询问；v. 询问, 审问, 怀疑",A1,,,,
during,during,/'djuәriŋ/,prep.,prep. 在...的时候,A1,,,,
play,play,/plei/,v./n.,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本；v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动",A1,,,,
government,government,/'gʌvәnmәnt/,n.,"n. 政府, 内阁",A2,,,,
run,run,/rʌn/,vt./vi./n.,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续；vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延；vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行；a. 熔化的, 融化的, 浇铸的；run的过去式和过去分词",A1,,,,
small,small,/smɒ:l/,n./adv.,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的；adv. 些微地；n. 狭小部分",A1,,,,
number,numb,/'nʌmbә/,vt./vi./n.,"n. 数, 数字, 数目, 号码；vt. 数, 计算, 共计；vi. 计算, 报数",A1,,,,
off,off,/ɒf/,vt./vi./adv./prep.,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的；adv. 走开, ...掉, ...下, 休息, 出发, 隔断；prep. 离开, 脱落, 不在从事......, 在...之外；vi. 离开, 滚开；vt. 杀死",A1,,,,
always,always,/'ɒ:lweiz/,adv.,"adv. 总是, 始终",A1,,,,
move,move,/mu:v/,vt./vi./n.,"n. 移动, 迁居, 步骤；vt. 移动, 开动, 感动, 搬(家)；vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手",A1,,,,
night,night,/nait/,n.,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作",A1,,,,
live,live,/liv.laiv/,vt./vi./adv.,"a. 活的, 生动的, 精力充沛的, 实况转播的；vi. 活, 生存, 居住；vt. 过着, 度过, 经历；adv. 实况地",A1,,,,
point,point,/pɒint/,vt./vi./n.,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位；vt. 弄尖, 强调, 指出, 加标点于, 瞄准；vi. 指, 指向, 表明",A1,,,,
believe,believe,/bi'li:v/,v.,v. 相信,A1,,,,
hold,hold,/hәuld/,vt./vi./n.,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁；vt. 保存, 握住, 拿住, 占据, 持有, 拥有；vi. 支持, 持续, 有效；n. 保留",A2,,,,
today,today,/tә'dei/,n./adv.,"n. 今天, 当今, 现在；adv. 今天, 当今",A1,,,,
bring,bring,/briŋ/,vt./vi.,"vt. 带来, 产生, 促使, 提出；vi. 生产",A1,,,,
happen,happen,/'hæpәn/,vi.,"vi. 发生, 发生, 恰巧",A1,,,,
next,next,/'nekst/,n./adv.,"n. 下一个；a. 下一个的, 其次的, 贴近的；adv. 然后, 下次, 次于",A1,,,,
without,without,/wi'ðaut/,n./adv./prep.,"prep. 没有, 不, 在...之外；adv. 在外面, 户外；n. 外面, 外部",A1,,,,
before,before,/bi'fɒ:/,adv./prep./conj.,prep. 在...之前；conj. 在...之前；adv. 在前,A1,,,,
large,large,/lɑ:dʒ/,adv.,"a. 大的, 大量的, 宽大的, 广博的；adv. 大大地, 夸大地",A1,,,,
million,million,/'miljәn/,n./num.,"n. 百万, 无数；num. 百万",A1,,,,
must,must,/mʌst/,n.,"n. 必须, 未发酵葡萄汁, 绝对必要的事物；aux. 必须",A1,,,,
home,home,/hәum/,n./adv.,"n. 家, 避难所, 故乡；a. 家庭的, 国内的, 打中目标的；adv. 在家, 在本国, 打中目标地",A1,,,,
under,under,/'ʌndә/,adv./prep.,"prep. 在...之下, 低于；a. 下面的, 从属的；adv. 在下面",A1,,,,
water,water,/'wɒ:tә/,vt./vi./n.,"n. 水, 雨水, 海水, 水位, 水面, 流水；vt. 给...浇水, 供以水, 注入水, 使湿；vi. 流泪, 流口水, 加水；a. 水的, 水上的, 水生的, 含水的",A1,,,,
room,room,/ru:m/,vt./vi./n.,"n. 房间, 空位, 场所；vi. 住宿, 居住；vt. 留宿",A1,,,,
write,write,/rait/,vt./vi.,"vt. 书写, 著述, 写, 写满, 写信给；vi. 写, 写字, 写信, 写作, 作曲",A1,,,,
mother,mother,/'mʌðә/,vt./n.,"n. 母亲, 修女院长；vt. 产生, 照看, 收养",A1,,,,
area,area,/'єәriә/,n.,"n. 区域, 面积, 范围, 空地",A1,,,,
national,national,/'næʃәnәl/,,"a. 国家的, 国立的, 全国性的, 民族的",A2,,,,
money,money,/'mʌni/,n.,"n. 金钱, 一笔款, 财富, 货币, 金额",A1,,,,
story,story,/'stɒ:ri/,n.,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层",A1,,,,
young,young,/jʌŋ/,n.,"a. 年轻的, 无经验的, 朝气蓬勃的；n. 青年们, 幼小动物, 崽",A1,,,,
fact,fact,/fækt/,n.,"n. 事实, 真实性, 真相, 细节, 论据",A1,,,,
month,month,/mʌnθ/,n.,n. 月,A1,,,,
different,different,/'difәrәnt/,,a. 不同的,A1,,,,
